Word	IPA transcription
Демократи	d e m o k r a t i
за	z a
силна	s i ɫ n ɐ
България	b ə ɫ ɡ a r i ɐ
също	s ə ʃ t o
плати	p ɫ a t i
данък	d a n ə k
на	n a
носталгията	n o s t ɐ ɫ ɡ i j a t ɐ
дори	d o r i
тази	t a z i
само	s a m o
прогноза	p r o ɡ n o z ɐ
създава	s ə z d a v ɐ
впечатлението	f p e t ʃ ɐ t l e n i e t o
че	t ʃ e
договорът	d o ɡ o v o r ə t
неразпространение	n e r ɐ s p r o s t r a n e n i e
ядрените	j ɐ d r e n i t e
оръжия	o r ə ʒ i j ɐ
изглежда	i z ɡ l e ʒ d ɐ
твърде	t v ə r d e
остарял	o s t a rʲ ɐ ɫ
фона	f o n ɐ
новите	n o v i t e
заплахи	z a p ɫ a ʃ i
и	i
технологии	t e x n o ɫ o ɡ i i
особено	o s o b e n o
след	s l e t
като	k a t o
в	v ə
ядрения	j ɐ d r e n i j ɐ
покер	p o k e r
могат	m o ɡ ɐ t
да	d a
се	s e
включат	f k l u t ʃ ɐ t
терористи	t e r o r i s t i
съотношението	s ə o t n o ʃ e n i e t o
кредити	k r e d i t i
депозити	d e p o z i t i
е	e
близко	b l i s k o
до	d o
нормалното	n o r m a ɫ n o t o
срещу	s r e ʃ t u
един	e d i n
лев	l e f
депозит	d e p o z i t
седемдесет	s e d e m d e s e t
стотинки	s t o t i n k i
отиват	o t i v ɐ t
отпускане	o t p u s k a n e
заем	z a e m
сред	s r e t
тях	tʲ a x
наредиха	n ɐ r e d i x ɐ
Мис	m i s
Елена	e l e n ɐ
Тихомирова	t i x o m i r o v ɐ
Нели	n e l i
Радост	r a d o s t
от	o t
Огледала	o ɡ l e d a ɫ ɐ
Мисис	m i s i s
Яна	j a n ɐ
Маринова	m ɐ r i n o v ɐ
други	d r u ɡ i
имена	i m e n ɐ
деня	d e ɲ ɐ
бюджетът	bʲ u d ʒ e t ə t
съвета	s ə v e t ɐ
милиона	m i l i o n ɐ
лева	l e v ɐ
Русия	r u s i j ɐ
не	n e
можеше	m o ʒ e ʃ e
даде	d a d e
рамо	r a m o
централноазиатските	t s e n t r ɐ ɫ n o ɐ z i a t s k i t e
лидери	l i d e r i
които	k o i t o
с	s ə
поглед	p o ɡ l e t
към	k ə m
Москва	m o s k v ɐ
търсеха	t ə r s e x ɐ
възможност	v ə z m o ʒ n o s t
всички	f s i t ʃ k i
средства	s r e t s t v ɐ
удължат	u d ə ɫ ʒ ɐ t
пребиваването	p r e b i v ɐ v a n e t o
си	s i
във	v ə f
властта	v ɫ a s t̪ ɐ
илида	i l i d ɐ
посочат	p o s o t ʃ ɐ t
наследници	n ɐ s l e d n i t s i
оттогава	o t̪ o ɡ a v ɐ
обикновено	o b i k n o v e n o
по-талантливите	p o t ɐ ɫ ɐ n t l i v i t e
им	i m
харесва	x a r e s v ɐ
бързичко	b ə r z i t ʃ k o
застрахователната	z ɐ s t r ɐ x o v ɐ t e ɫ n a t ɐ
компания	k o m p a n i j ɐ
има	i m ɐ
нужда	n u ʒ d ɐ
повече	p o v e t ʃ e
клиенти	k l i e n t i
защото	z a ʃ t o t o
принципът	p r i n t s i p ə t
застраховките	z ɐ s t r ɐ x o f k i t e
законът	z a k o n ə t
големите	ɡ o l e m i t e
числа	t ʃ i s ɫ ɐ
Словакия	s ɫ o v a k i j ɐ
работи	r a b o t i
по	p o
осем	o s e m
проекта	p r o e k t ɐ
Европейския	e v r o p e j s k i j ɐ
